"Kategorija";"Od";"Do";"Dolzina";"Vsa vozila"
"AC";"MP ŠENTILJ";"POEIVALIŠEE ŠENTILJ";"482";"23710"
"AC";"POEIVALIŠEE ŠENTILJ";"ŠENTILJ";"655";"23260"
"AC";"PRIKLJ.ŠENTILJ";"MP ŠENTILJ";"1646";"450"
"AC";"ŠENTILJ";"PESNICA";"9761";"28598"
"AC";"PESNICA";"DRAGUEOVA";"2570";"28800"
"AC";"DRAGUEOVA";"MB (ZRKOVSKA)";"4452";"37020"
"AC";"MB (ZRKOVSKA)";"MB (PTUJSKA)";"3318";"37200"
"AC";"MB (PTUJSKA)";"ROGOZA";"2590";"43826"
"AC";"ROGOZA";"SLIVNICA";"2267";"41500"
"AC";"SLIVNICA";"FRAM";"1910";"46157"
"AC";"PRIKLJ. FRAM";"MB";"1000";"6815"
"AC";"PRIKLJ. FRAM";"CE";"368";"2667"
"AC";"FRAM";"SL.BISTRICA-SEVER";"6785";"42009"
"AC";"SL.BISTRICA";"SEVER-JUG";"2948";"43736"
"AC";"PRIKLJ. SL. BISTRICA J.";"MB";"400";"9700"
"AC";"PRIKLJ. SL. BISTRICA J";"CE";"1238";"4500"
"AC";"SL.BISTRICA";"SL.KONJICE";"9119";"38536"
"AC";"PRIKLJ. SL. KONJICE";"MB";"900";"5200"
"AC";"PRIKLJ. SL. KONJICE";"CE";"890";"3754"
"AC";"SL.KONJICE";"DRAMLJE";"10886";"37090"
"AC";"PRIKLJ. DRAMLJE";"MB";"600";"2139"
"AC";"PRIKLJ. DRAMLJE";"CE";"515";"5219"
"AC";"DRAMLJE";"LJUBEENA";"6436";"40170"
"AC";"LJUBEENA";"CELJE";"2001";"41400"
"AC";"CELJE";"CELJE ZAHOD";"5261";"44500"
"AC";"CELJE ZAHOD";"ARJA VAS";"2249";"49800"
"AC";"ARJA VAS";"ŠEMPETER";"7511";"45286"
"AC";"ŠEMPETER";"ŠENTRUPERT";"2141";"43700"
"AC";"ŠENTRUPERT";"VRANSKO";"7899";"42090"
"AC";"VRANSKO";"TROJANE";"9940";"39500"
"AC";"TROJANE";"BLAGOVICA";"8683";"42665"
"AC";"PRIKLJ.BLAGOVICA";"CE";"200";"270"
"AC";"PRIKLJ. BLAGOVICA";"LJ";"329";"1094"
"AC";"BLAGOVICA";"LUKOVICA";"8821";"43489"
"AC";"LUKOVICA";"KRTINA";"3644";"45000"
"AC";"KRTINA";"DOMŽALE";"3485";"49150"
"AC";"DOMŽALE";"ŠENTJAKOB";"5402";"57409"
"AC";"ŠENTJAKOB";"SNEBERJE";"1159";"70500"
"AC";"SNEBERJE";"LJ (ZADOBRAVA)";"386";"72564"
"AC";"LJ (ZADOBRAVA)";"R LJ ZADOBROVA";"1321";"36616"
"AC";"R LJ ZADOBROVA";"IND. CONA MOSTE";"536";"80500"
"AC";"LJ (IND. CONA MOSTE)";"LJ (ZALOŠKA)";"794";"79500"
"AC";"LJ (ZALOŠKA)";"LJ (LITIJSKA)";"1277";"70000"
"AC";"LJ (LITIJSKA)";"LJ (MALENCE)";"3460";"66380"
"AC";"LJ (LITIJSKA)";"LJ (MALENCE)";"519";"43000"
"AC";"LJ (MALENCE)";"LJ (DOLENJSKA C.)";"456";"77500"
"AC";"LJ (DOLENJSKA)";"LJ (PERUZIJEVA)";"2098";"67000"
"AC";"LJ (PERUZIJEVA)";"LJ (BARJANSKA)";"1845";"70633"
"AC";"LJ (BARJANSKA)";"LJ (VIE)";"2758";"68000"
"AC";"LJ (VIE)";"LJ (KOZARJE)";"794";"77600"
"AC";"LJ (KOZARJE)";"LJ (RAZEP KOZARJE)";"838";"39600"
"AC";"LJ (RAZEP KOZARJE)";"BREZOVICA";"1570";"77700"
"AC";"BREZOVICA";"VRHNIKA";"12424";"65477"
"AC";"PRIKLJ. VRHNIKA";"LJ";"1120";"12200"
"AC";"PRIKLJ. VRHNIKA";"KP";"261";"3723"
"AC";"VRHNIKA";"LOGATEC";"8279";"57000"
"AC";"LOGATEC";"UNEC";"10422";"51687"
"AC";"PRIKLJ. UNEC";"LJ";"404";"5100"
"AC";"PRIKLJ. UNEC";"KP";"384";"2400"
"AC";"UNEC";"POSTOJNA";"11375";"48987"
"AC";"PRIKLJ. POSTOJNA";"LJ";"900";"10000"
"AC";"PRIKLJ. POSTOJNA";"KP";"278";"4500"
"AC";"POSTOJNA";"RAZDRTO";"9581";"43487"
"AC";"RAZDRTO";"NANOS";"1601";"44037"
"AC";"PRIKLJ. RAZDRTO";"LJ";"250";"1100"
"AC";"PRIKLJ. RAZDRTO";"KP";"448";"1650"
"AC";"NANOS";"SENOŽEEE";"5458";"33164"
"AC";"SENOŽEEE";"GABRK";"4384";"33806"
"AC";"GABRK";"DIVAEA";"2873";"25089"
"AC";"DIVAEA";"KOZINA";"7151";"25747"
"AC";"PRIKLJ. KOZINA";"LJ";"700";"3657"
"AC";"PRIKLJ. KOZINA";"KP";"1495";"3808"
"AC";"KOZINA";"KASTELEC";"8598";"25898"
"AC";"KASTELEC";"ERNI KAL";"3220";"26100"
"AC";"ERNI KAL";"RAZCEP SERMIN";"6662";"26487"
"AC";"RAZCEP SERMIN";"H5";"454";"25000"
"AC";"MP KARAVANKE";"HRUŠICA";"5361";"11566"
"AC";"HRUŠICA";"LIPCE";"7154";"17800"
"AC";"LIPCE";"LESCE";"7950";"23889"
"AC";"PRIKLJ. LESCE";"JESENICE";"545";"5428"
"AC";"PRIKLJ. LESCE";"KRANJ";"588";"12244"
"AC";"LESCE";"RADOVLJICA";"3780";"30705"
"AC";"RADOVLJICA";"BREZJE";"2933";"36400"
"AC";"BREZJE";"PODTABOR";"5002";"37800"
"AC";"PODTABOR";"NAKLO";"3567";"48000"
"AC";"NAKLO";"KRANJ Z";"3746";"43700"
"AC";"KRANJ Z";"KRANJ V";"5674";"40000"
"AC";"KRANJ V";"BRNIK";"3900";"44500"
"AC";"BRNIK";"VODICE";"5246";"49271"
"AC";"VODICE";"LJ ( ŠMARTNO)";"6968";"55454"
"AC";"LJ (ŠMARTNO)";"LJ (BROD)";"2374";"58000"
"AC";"LJ (BROD)";"LJ (ŠENTVID)";"510";"56400"
"AC";"LJ (ŠENTVID)";"LJ (PODUTIK)";"3057";"54425"
"AC";"LJ (PODUTIK)";"LJ (KOSEZE)";"402";"52300"
"AC";"RAZCEP KOSEZE";"KOSEZE";"673";"38700"
"AC";"LJ (KOSEZE)";"LJ (BRDO)";"1088";"86700"
"AC";"LJ (BRDO)";"LJ (KOZARJE)";"1700";"75925"
"AC";"LJ (KOZARJE)";"RAZCEP KOZARJE";"692";"38000"
"AC";"LJ (MALENCE)";"RAZCEP MALENCE";"484";"34500"
"AC";"RAZCEP MALENCE";"ŠMARJE-SAP";"5554";"56831"
"AC";"PRIKLJ. ŠMARJE";"SAP NM";"926";"2800"
"AC";"ŠMARJE SAP";"CIKAVA";"1779";"56100"
"AC";"CIKAVA";"GROSUPLJE";"2094";"46200"
"AC";"GROSUPLJE";"VIŠNJA GORA";"6740";"43000"
"AC";"VIŠNJA GORA";"IVANENA GORICA";"6321";"41314"
"AC";"IVANENA GORICA";"BIE";"6889";"31969"
"AC";"BIE";"TREBNJE Z";"7403";"31300"
"AC";"TREBNJE Z";"TREBNJE V";"6980";"26500"
"AC";"TREBNJE V";"PRIKLJ. MIRNA PEE";"4557";"30200"
"AC";"PRIKLJ. MIRNA PEE";"NM PRIKLJ. Z";"6288";"29680"
"AC";"NM PRIKLJ. Z";"NM PRIKLJ. V";"2323";"24000"
"AC";"NM PRIKLJ.V";"KRONOVO";"6338";"25600"
"AC";"KRONOVO";"DOBRUŠKA VAS";"6040";"24050"
"AC";"DOBRUŠKA VAS";"SMEDNIK";"5896";"22000"
"AC";"SMEDNIK";"DRNOVO";"7758";"21480"
"AC";"PRIKLJ. DRNOVO";"NM";"2300";"5373"
"AC";"PRIKLJ. DRNOVO";"EATEŽ";"544";"2135"
"AC";"DRNOVO";"BREŽICE";"11717";"18242"
"AC";"BREŽICE";"PRIKLJ. OBREŽJE";"7008";"16500"
"AC";"PRIKLJ. OBREŽJE";"OBREŽJE TERMINAL";"963";"15000"
"AC";"OBREŽJE TERMINAL";"MP OBREŽJE";"563";"12650"
"AC";"GABRK";"SEŽANA V";"7977";"13796"
"AC";"SEŽANA V";"SEŽANA Z";"2698";"11000"
"AC";"SEŽANA Z";"FERNETIEI";"950";"10384"
"AC";"FERNETIEI";"MP FERNETIEI";"621";"21300"
"AC";"SLIVNICA";"LETALIŠEE MB";"2365";"23500"
"AC";"LETALIŠEE MB";"MARJETA";"4359";"23200"
"AC";"MARJETA";"ZLATOLIEJE";"4769";"22154"
"AC";"ZLATOLIEJE";"HAJDINA";"4067";"21600"
"AC";"HAJDINA";"DRAŽENCI";"4510";"20200"
"AC";"PODLEHNIK";"GRUŠKOVJE";"8634";"10300"
"AC";"DRAGUEOVA";"PERNICA";"6174";"27600"
"AC";"PERNICA";"LENART";"5152";"26847"
"AC";"PRIKLJ.PERNICA";"MB";"220";"1477"
"AC";"PRIKLJ.PERNICA";"MS";"220";"724"
"AC";"LENART";"SV.TROJICA";"5018";"21000"
"AC";"SV. TROJICA";"PRIKLJ. CERKVENJAK";"4560";"19500"
"AC";"PRIKLJ. CERKVENJAK";"SV. JURIJ OB ŠEAVNICI";"7960";"18500"
"AC";"SV.JURIJ OB ŠEAVNICI";"VUEJA VAS";"8499";"17360"
"AC";"PRIKLJ. VUEJA VAS";"MB";"400";"2092"
"AC";"PRIKLJ. VUEJA VAS";"MS";"436";"1594"
"AC";"VUEJA VAS";"MURSKA SOBOTA";"6577";"16862"
"AC";"PRIKLJ. MURSKA SOBOTA";"MB";"2417";"4546"
"AC";"PRIKLJ. MURSKA SOBOTA";"LENDAVA";"391";"1888"
"AC";"MURSKA SOBOTA";"LIPOVCI";"3798";"16862"
"AC";"LIPOVCI";"GANEANI";"4290";"13300"
"AC";"GANEANI";"TURNIŠEE";"5245";"13500"
"AC";"TURNIŠEE";"DOLGA VAS";"9628";"13100"
"AC";"DOLGA VAS";"LENDAVA";"3964";"11358"
"AC";"PRIKLJ. LENDAVA";"MS";"286";"3992"
"AC";"PRIKLJ. LENDAVA";"PINCE";"394";"289"
"AC";"LENDAVA";"PINCE";"8432";"7668"
"AC";"PINCE";"MP PINCE";"277";"7300"
"HC";"PESNICA";"PRIKLJ. PESNICA";"209";"21800"
"HC";"PRIKLJ. PESNICA";"MARIBOR";"4307";"21373"
"HC";"MB(MELJSKA)";"POBREŽJE";"1534";"25800"
"HC";"POBREŽJE";"MB(TEZNO)";"1150";"28228"
"HC";"LJ (ZADOBROVA)";"LJ (LESKOVŠKOVA C.)";"920";"70248"
"HC";"LJ (LESKOŠKOVA C.)";"LJ (ŠMARTINSKA)";"591";"53034"
"HC";"LJ (ŠMARTINSKA)";"LJ (TOMAEEVO)";"2084";"71200"
"HC";"LJ (TOMAEEVO)";"LJ (DUNAJSKA)";"1238";"73000"
"HC";"LJ (DUNAJSKA)";"LJ (SAVLJE)";"948";"72100"
"HC";"LJ (SAVLJE)";"LJ (IND. CONA ŠIŠKA)";"1240";"68448"
"HC";"LJ (IND. CONA ŠIŠKA)";"LJ (CELOVŠKA)";"466";"74900"
"HC";"LJ (CELOVŠKA)";"LJ (VODNIKOVA)";"666";"66500"
"HC";"LJ (VODNIKOVA)";"LJ (PODUTIK)";"811";"61856"
"HC";"LJ (PODUTIK)";"LJ (KOSEZE)";"1258";"46800"
"HC";"VIPAVA";"AJDOVŠEINA";"6763";"16200"
"HC";"AJDOVŠEINA";"SELO";"9174";"16400"
"HC";"PRIKLJ. SELO";"AJDOVŠEINA";"150";"1800"
"HC";"PRIKLJ.SELO";"VRTOJBA";"172";"1600"
"HC";"SELO";"VOGRSKO";"6726";"16200"
"HC";"VOGRSKO";"ŠEMPETER";"4776";"12698"
"HC";"ŠEMPETER";"VRTOJBA";"1625";"10001"
"HC";"VRTOJBA";"MP VRTOJBA";"613";"11915"
"HC";"MP ŠKOFIJE";"PLAVJE";"552";"17000"
"HC";"PLAVJE";"ŠKOFIJE";"1577";"13436"
"HC";"ŠKOFIJE";"PRIKLJ. SERMIN";"833";"17300"
"HC";"PRIKLJ. SERMIN";"SERMIN (A1)";"1194";"21600"
"HC";"PRIKLJUEEK PLAVJE";"KP";"100";"580"
"HC";"PRIKLJUEEK PLAVJE";"MP";"46";"4200"
"HC";"SERMIN";"BERTOKI";"1129";"45200"
"HC";"BERTOKI";"KP(ŠKOCJAN)";"2548";"44568"
"HC";"KOPER (SLAVEEK)";"KOPER (SEMEDELA)";"1120";"41200"
"HC";"KOPER (SEMEDELA)";"IZOLA";"4116";"27500"
"HC";"A5";"DOLGA VAS";"1502";"5450"
"HC";"DOLGA VAS";"RONDO DOLGA VAS";"2024";"4345"
"G1";"MP VIE";"DRAVOGRAD";"3590";"2848"
"G1";"DRAVOGRAD";"RADLJE";"16005";"7870"
"G1";"RADLJE";"BREZNO";"9127";"4789"
"G1";"BREZNO";"RUTA";"9569";"4475"
"G1";"RUTA";"SELNICA";"10500";"4895"
"G1";"SELNICA";"MB(OTOK)";"8720";"8819"
"G1";"MB (OTOK)";"MB (KOROŠKI MOST)";"1468";"14231"
"G1";"MB (KOR. MOST)";"MB (C. PROLE. BRIGAD)";"2014";"24199"
"G1";"MB (C. PROLE. BRIGAD)";"MB (TRŽAŠKA C.)";"2227";"27000"
"G1";"MB (TRŽAŠKA)";"MIKLAVŽ";"3532";"21811"
"G1";"SL.BISTRICA";"PRAGERSKO";"3925";"8800"
"G1";"PRAGERSKO";"ŠIKOLE";"5323";"5589"
"G1";"ŠIKOLE";"KIDRIEEVO";"6850";"6557"
"G1";"KIDRIEEVO";"HAJDINA";"1100";"11653"
"G1";"PTUJ(TURNIŠEE)";"PTUJ(BUDINA)";"1642";"25525"
"G1";"PTUJ";"SPUHLJA";"2226";"13919"
"G1";"SPUHLJA";"GORIŠNICA";"8030";"8309"
"G1";"GORIŠNICA";"ORMOŽ";"9658";"5926"
"G1";"ORMOŽ Z";"ORMOŽ V";"3020";"3655"
"G1";"ORMOŽ";"SREDIŠEE OB DRAVI";"9000";"2673"
"G1";"SREDIŠEE OB DRAVI";"MP SRED.";"2855";"971"
"G1";"DRAVOGRAD";"OTIŠKI VRH";"1448";"13643"
"G1";"OTIŠKI VRH";"SL.GRADEC";"9170";"10279"
"G1";"SL.GRADEC";"LUŽNIK";"6600";"12766"
"G1";"LUŽNIK";"GORNJI DOLIE";"6297";"9596"
"G1";"GORNJI DOLIE";"VELENJE";"11476";"9501"
"G1";"VELENJE";"ERNOVA";"7427";"17723"
"G1";"ERNOVA";"ARJA VAS";"7014";"14593"
"G1";"PRIKLJ. CELJE Z";"MEDLOG";"3613";"6617"
"G1";"MEDLOG";"CELJE";"3242";"13373"
"G1";"CELJE";"CE(POLULE)";"2000";"19400"
"G1";"CE (POLULE)";"LAŠKO";"9000";"14492"
"G1";"LAŠKO";"ŠMARJETA";"6325";"9519"
"G1";"ŠMARJETA";"RIMSKE TOPLICE";"1050";"6946"
"G1";"RIM.TOPLICE";"ZIDANI MOST";"6750";"5331"
"G1";"ZIDANI MOST";"RADEEE";"2997";"6759"
"G1";"RADEEE";"BOŠTANJ";"11249";"5315"
"G1";"BOŠTANJ";"IMPOLJCA";"4490";"5983"
"G1";"IMPOLJCA";"BRESTANICA";"9790";"4804"
"G1";"BRESTANICA";"KRŠKO";"3900";"8305"
"G1";"KRŠKO";"LESKOVEC";"2620";"12513"
"G1";"LESKOVEC";"DRNOVO";"2305";"10919"
"G1";"POSTOJNA";"PIVKA";"10260";"12674"
"G1";"PIVKA";"RIBNICA";"9945";"3874"
"G1";"RIBNICA";"PREM";"4215";"4443"
"G1";"PREM";"IL.BISTRICA";"6227";"5000"
"G1";"IL.BISTRICA";"DOLNJI ZEMON";"2800";"8147"
"G1";"DOLNJI ZEMON";"MP JELŠANE";"7161";"5000"
"G1";"MP STAROD";"PODGRAD";"6561";"5003"
"G1";"PODGRAD";"OBROV";"5900";"7050"
"G1";"OBROV";"KOZINA";"14500";"7443"
"G1";"KOZINA";"MP KOZINA";"3340";"6047"
"G1";"LJ(ŠENTVID)";"LJ(OBVOZNICA)";"2900";"40032"
"G1";"KOPER";"ŠMARJE";"6000";"16359"
"G1";"ŠMARJE";"DRAGONJA";"7650";"10974"
"G1";"DRAGONJA";"MP DRAGONJA";"1074";"9086"
"G1";"SLAVEEK";"KOPER";"700";"35000"
"G1";"KOPER";"ŠKOCJANSKI ZATOK";"1070";"15500"
"G1";"ŠKOCJANSKI ZATOK";"LUKA KOPER";"654";"5000"
"G2";"MP LJUBELJ";"BISTRICA(TRŽIE)";"12500";"2595"
"G2";"BISTRICA(TRŽIE)";"ZVIREE";"3280";"9979"
"G2";"ZVIREE";"PODTABOR";"1228";"9500"
"G2";"MP ROBIE";"ROBIE";"4800";"1049"
"G2";"ROBIE";"STARO SELO";"802";"2058"
"G2";"STARO SELO";"KOBARID";"3320";"2800"
"G2";"KOBARID";"IDRSKO";"2200";"4460"
"G2";"IDRSKO";"PERŠETI";"11715";"4792"
"G2";"PERŠETI";"MOST NA SOEI";"7334";"4465"
"G2";"MOST NA SOEI";"BAEA";"2205";"5200"
"G2";"BAEA";"DOL. TREBUŠA";"8550";"2395"
"G2";"DOL TREBUŠA";"ŽELIN";"13118";"1650"
"G2";"ŽELIN";"SP. IDRIJA(MAROF)";"11300";"2528"
"G2";"SP. IDRIJA";"GODOVIE";"13277";"4221"
"G2";"GODOVIE";"KALCE";"11233";"4034"
"G2";"KALCE";"LOGATEC";"3490";"6397"
"G2";"LOGATEC";"PRIKLJ. LOGATEC";"1672";"10284"
"G2";"PERŠETI";"UŠNIK";"4015";"3800"
"G2";"UŠNIK";"KANAL";"12580";"3761"
"G2";"KANAL";"PLAVE";"7490";"6312"
"G2";"PLAVE";"SOLKAN";"10070";"7074"
"G2";"KROMBERK";"ROŽNA DOLINA";"2589";"23992"
"G2";"NG(R. DOLINA)";"ŠEMPETER";"2315";"11805"
"G2";"KRANJ";"LETALIŠEE BRNIK";"6000";"25890"
"G2";"LETALIŠEE BRNIK";"SP.BRNIK";"2453";"10008"
"G2";"SP.BRNIK";"MOSTE";"5953";"9368"
"G2";"MOSTE";"MENGEŠ";"3900";"10516"
"G2";"MENGEŠ (KAMNIŠKA C.)";"MENGEŠ (KOLODVORSKA C.)";"802";"9000"
"G2";"MENGEŠ (KOLODVORSKA C.)";"LOKA";"1975";"10356"
"G2";"LOKA";"TRZIN";"2555";"16749"
"G2";"TRZIN";"LJ(ERNUEE)";"3687";"33525"
"G2";"LJ (ERNUEE)";"LJ (BRNEIEEVA)";"890";"32585"
"G2";"LJ (BRNEIEEVA)";"LJ (TOMAEEVO)";"1980";"40500"
"G2";"NOVO MESTO (AC)";"NOVO MESTO (LOENA)";"910";"15300"
"G2";"NOVO MESTO (LOENA)";"NOVO MESTO (KRKA)";"1070";"20394"
"G2";"NOVO MESTO (KRKA)";"NOVO MESTO (REVOZ)";"1805";"13700"
"G2";"NOVO MESTO (REVOZ)";"METLIKA";"26301";"5596"
"G2";"METLIKA";"MP METLIKA";"1480";"3156"
"G2";"LJ (RUDNIK)";"ŠKOFLJICA";"4555";"17152"
"G2";"ŠKOFLJICA";"RAŠICA";"16290";"8535"
"G2";"RAŠICA";"ŽLEBIE";"12425";"7218"
"G2";"ŽLEBIE";"BREG";"2300";"7100"
"G2";"BREG";"HROVAEA";"2200";"9800"
"G2";"HROVAEA";"DOLENJA VAS";"4990";"8892"
"G2";"DOLENJA VAS";"KOEEVJE";"9289";"6249"
"G2";"KOEEVJE";"LIVOLD";"4369";"5130"
"G2";"LIVOLD";"ŠTALCERJI";"6200";"2139"
"G2";"ŠTALCERJI";"FARA";"15380";"1250"
"G2";"FARA";"PETRINA";"2450";"935"
"G2";"PETRINA";"MP PETRINA";"110";"685"
"G2";"ŠKOFLJICA";"ŠMARJE SAP";"2461";"5079"
"G2";"CELJE";"ŠTORE";"4500";"16066"
"G2";"ŠTORE";"ŠENTJUR";"6402";"10942"
"G2";"ŠENTJUR";"ŠMARJE PRI JELŠAH";"11300";"9345"
"G2";"ŠMARJE PRI JELŠAH";"MESTINJE";"2955";"8765"
"G2";"MESTINJE";"PODPLAT";"2060";"9077"
"G2";"PODPLAT";"TEKAEEVO";"2450";"9175"
"G2";"TEKAEEVO";"KOTEC";"8150";"4271"
"G2";"KOTEC";"ROGATEC";"1930";"5808"
"G2";"ROGATEC";"MP DOBOVEC";"5777";"1553"
"G2";"ERNUEE";"ŠENTJAKOB";"3580";"9901"
"G2";"ŠENTJAKOB";"DOLSKO";"7000";"13222"
"G2";"DOLSKO";"RIBEE";"7870";"8785"
"G2";"RIBEE";"LITIJA";"13422";"8314"
"G2";"LITIJA";"ZAGORJE";"14981";"4892"
"G2";"ZAGORJE";"TRBOVLJE";"4316";"8000"
"G2";"TRBOVLJE";"HRASTNIK";"5162";"6988"
"G2";"HRASTNIK";"ZIDANI MOST";"8291";"1511"
"G2";"DOLGA VAS";"MP DOLGA VAS";"584";"4342"
"G2";"LENDAVA";"PETIŠOVCI";"3500";"3500"
"G2";"PETIŠOVCI";"MP PETIŠOVCI";"998";"3349"
"G2";"IZOLA";"JAGODJE";"3074";"20626"
"G2";"VALETA";"LUCIJA";"1770";"12900"
"G2";"LUCIJA";"SEEOVLJE";"5230";"10605"
"G2";"SEEOVLJE";"MP SEEOVLJE";"280";"5835"
"G2";"MP HOLMEC";"POLJANA";"3881";"2289"
"G2";"POLJANA";"PREVALJE";"2000";"8452"
"G2";"PREVALJE";"RAVNE";"6047";"15150"
"G2";"RAVNE";"DRAVOGRAD";"7008";"6971"
"R1";"MP KORENSKO SEDLO";"PODKOREN";"3755";"1833"
"R1";"PODKOREN";"KR.GORA";"2550";"5500"
"R1";"KR.GORA";"GOZD MARTULJEK";"3900";"7261"
"R1";"GOZD MARTULJEK";"MOJSTRANA-DOVJE";"8200";"6781"
"R1";"DOVJE";"MOJSTRANA-KRAJE";"2420";"6786"
"R1";"KRAJE";"HRUŠICA";"4030";"8327"
"R1";"MP RATEEE";"RATEEE";"1380";"2173"
"R1";"RATEEE";"PODKOREN";"2926";"2900"
"R1";"MP PREDEL";"KLUŽE";"12500";"983"
"R1";"KLUŽE";"BOVEC";"2404";"1300"
"R1";"BOVEC(PO OBVOZNICI)";"ŽAGA";"9904";"2226"
"R1";"ŽAGA";"KOBARID";"13395";"2458"
"R1";"ŠEMPETER";"VOLEJA DRAGA";"2800";"9431"
"R1";"VOLEJA DRAGA";"DORNBERK";"5543";"5961"
"R1";"DORNBERK";"ŠTANJEL";"13078";"2313"
"R1";"ŠTANJEL";"DUTOVLJE";"7820";"1800"
"R1";"DUTOVLJE";"SEŽANA";"7890";"2947"
"R1";"DIVAEA";"LOKEV-LIPICA";"8655";"4805"
"R1";"KRANJSKA GORA";"ERIKA";"3372";"1033"
"R1";"RUSKA CESTA (ERIKA)";"RUSKA CESTA (VRŠIE)";"8978";"650"
"R1";"VRŠIE";"TRENTA";"8960";"533"
"R1";"TRENTA";"BOVEC";"22141";"1390"
"R1";"GODOVIE";"ERNI VRH";"6871";"1800"
"R1";"ERNI VRH";"COL";"9602";"1400"
